env_label,sample_idx,rtt_ms
onprem-wan,0,77.728
onprem-wan,1,80.545
onprem-wan,2,80.489
onprem-wan,3,82.644
onprem-wan,4,158.398
onprem-wan,5,87.644
onprem-wan,6,75.098
onprem-wan,7,84.363
onprem-wan,8,83.537
onprem-wan,9,87.177
onprem-wan,10,84.676
onprem-wan,11,79.263
onprem-wan,12,81.245
onprem-wan,13,76.954
onprem-wan,14,76.010
onprem-wan,15,87.100
onprem-wan,16,77.590
onprem-wan,17,77.145
onprem-wan,18,75.700
onprem-wan,19,77.391
onprem-wan,20,82.363
onprem-wan,21,79.213
onprem-wan,22,74.775
onprem-wan,23,89.510
onprem-wan,24,87.117
onprem-wan,25,77.773
onprem-wan,26,81.323
onprem-wan,27,77.412
onprem-wan,28,74.284
onprem-wan,29,75.344
onprem-wan,30,88.811
onprem-wan,31,85.789
onprem-wan,32,81.512
onprem-wan,33,76.370
onprem-wan,34,86.256
onprem-wan,35,78.821
onprem-wan,36,76.309
onprem-wan,37,77.757
onprem-wan,38,87.831
onprem-wan,39,79.353
onprem-wan,40,78.492
onprem-wan,41,77.531
onprem-wan,42,71.738
onprem-wan,43,79.644
onprem-wan,44,72.511
onprem-wan,45,85.214
onprem-wan,46,78.648
onprem-wan,47,71.711
onprem-wan,48,87.408
onprem-wan,49,81.513
spoke-lan,0,0.523
spoke-lan,1,0.625
spoke-lan,2,0.778
spoke-lan,3,0.446
spoke-lan,4,1.135
spoke-lan,5,0.584
spoke-lan,6,0.523
spoke-lan,7,0.636
spoke-lan,8,0.559
spoke-lan,9,0.819
spoke-lan,10,0.474
spoke-lan,11,0.708
spoke-lan,12,0.462
spoke-lan,13,0.355
spoke-lan,14,0.503
spoke-lan,15,0.534
spoke-lan,16,0.408
spoke-lan,17,0.446
spoke-lan,18,0.407
spoke-lan,19,0.397
spoke-lan,20,0.406
spoke-lan,21,0.461
spoke-lan,22,0.391
spoke-lan,23,0.390
spoke-lan,24,0.380
spoke-lan,25,0.563
spoke-lan,26,0.329
spoke-lan,27,0.435
spoke-lan,28,0.440
spoke-lan,29,0.439
spoke-lan,30,0.562
spoke-lan,31,0.480
spoke-lan,32,0.496
spoke-lan,33,0.480
spoke-lan,34,0.374
spoke-lan,35,0.757
spoke-lan,36,0.639
spoke-lan,37,0.426
spoke-lan,38,0.657
spoke-lan,39,0.577
spoke-lan,40,0.647
spoke-lan,41,0.396
spoke-lan,42,0.397
spoke-lan,43,0.450
spoke-lan,44,0.423
spoke-lan,45,0.494
spoke-lan,46,0.646
spoke-lan,47,0.610
spoke-lan,48,0.447
spoke-lan,49,0.447
